requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
38417,Manhattan,2025,1,12,7,45,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,8,0,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,8,15,9,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,8,30,6,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,8,45,5,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,9,0,12,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,9,15,11,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,9,30,14,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,9,45,12,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,10,0,10,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,10,15,9,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,10,30,9,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,10,45,14,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,11,0,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,11,15,6,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,11,30,12,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,11,45,17,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,12,12,0,13,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,10,5,45,10,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,6,0,3,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,6,15,6,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,6,30,11,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,6,45,8,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,7,0,16,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,7,15,21,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,7,30,33,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,7,45,10,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,8,0,2,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,8,15,7,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,8,30,4,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,8,45,6,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,9,0,6,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,9,15,9,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,9,30,4,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,9,45,7,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,10,0,3,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,10,15,6,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,10,30,5,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,10,45,9,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,11,0,6,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,11,15,6,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,11,30,4,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,11,45,8,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,12,0,5,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,12,15,9,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,12,30,14,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,12,45,7,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,13,0,5,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,13,15,5,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,13,30,11,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,13,45,8,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,14,0,6,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,14,15,14,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,14,30,11,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,14,45,16,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,15,0,14,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,15,15,15,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,15,30,28,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,15,45,15,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,16,0,18,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,16,15,12,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,16,30,6,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,16,45,8,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,17,0,7,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,17,15,3,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,17,30,3,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,17,45,3,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,18,0,1,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,18,15,4,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,18,30,7,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,18,45,2,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,19,0,2,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,19,15,3,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,19,30,1,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,19,45,0,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,20,0,0,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,20,15,6,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,20,30,4,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,20,45,3,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,21,0,3,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,21,15,4,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,21,30,1,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,21,45,5,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
38417,Manhattan,2025,1,10,22,0,2,270732,POINT (1008459.9025107967 256754.97560910846),WEST 219 STREET,9 Avenue,Broadway,WB
