toll_date,toll_hour,toll_10_minute_block,minute_of_hour,hour_of_day,day_of_week_int,day_of_week,toll_week,time_period,vehicle_class,detection_group,detection_region,crz_entries,excluded_roadway_entries
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Hugh L. Carey Tunnel,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Manhattan Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Williamsburg Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,East 60th St,East 60th St,4,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,FDR Drive at 60th St,FDR Drive,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Holland Tunnel,New Jersey,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Lincoln Tunnel,New Jersey,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Queens Midtown Tunnel,Queens,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Queensboro Bridge,Queens,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,West 60th St,West 60th St,6,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,West Side Highway at 60th St,West Side Highway,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,Brooklyn Bridge,Brooklyn,1,1
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,Hugh L. Carey Tunnel,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,Manhattan Bridge,Brooklyn,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,5 - Motorcycles,Williamsburg Bridge,Brooklyn,0,0
